species,CensusID,Tag,DBH,ExactDate,ListOfTSM,growth_form,,TrueStemID,Bio_Mu_Growth,Bio_Gamma_Growth,Bio_Sigma0_Growth,Bio_Sigma1_Growth,Bio_H0_Mortality,Bio_Beta_Mortality,Bio_Recruit_Meanlog,Bio_Recruit_Sdlog,Bio_Recruit_MaxDBH_unit,Bio_Recruitment_lambda,Bio_Max_Shrink,Bio_K_Shrink,Bio_Max_Growth,Bio_Max_Growth_Soft,Bio_K_Growth
aspicr,5,167848,1.5,4/13/00,,tree,,,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
aspicr,6,167848,1.6,5/17/05,L,tree,,,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
aspicr,7,167848,1.6,5/18/10,L,tree,,146104,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
aspicr,8,167848,1.7,7/15/15,L,tree,,146104,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
aspicr,9,167848,,9/27/22,R,tree,,,-0.110961292,0.221120635,0.022125072,0.008230046,0.028739089,-0.031929609,0.224877963,0.237042314,38.4999,0.084706189,-0.5,0,7.5,1.767749275,0
poutre,1,170662,1,2/25/82,,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,2,170662,1.5,4/4/85,,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,3,170662,2,6/2/90,,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,4,170662,2.4,3/23/95,,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,5,170662,2.5,3/14/00,,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,6,170662,2.5,3/22/05,,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,7,170662,2.5,3/23/10,,tree,,147963,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,8,170662,,5/25/15,R,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
poutre,9,170662,,4/19/23,D,tree,,,-0.056747958,0.152057007,0.019084648,0.006421472,0.052994673,-0.044394996,0.261975042,0.248228443,38.4999,0.069399542,-0.5,0,7.5,1.218787404,0
