Tag,species,OriginalStemID,TrueStemID,CensusID,BirthCensus,DeathCensus,DBH_true,DBH,AnnualGrowth,YearFactor,ObsSD
2,all,4,,6,1,9,21.55093874,21.68216297,0.474187063,0.5,0.4
2,all,4,4,7,1,9,23.92187405,23.36588881,0.551913813,1,0.4
2,all,4,4,8,1,9,26.68144312,26.87649587,0.393630583,1,0.4
2,all,4,4,9,1,9,28.64959603,28.22794084,,1,0.4
3,all,1,,1,1,9,13.81754745,13.9547028,0.700264182,1,0.4
3,all,1,,2,1,9,17.31886836,17.1384945,0.526066356,1,0.4
3,all,1,,3,1,9,19.94920013,20.15489218,0.125809373,0.5,0.4
3,all,1,,4,1,9,20.578247,20.44451178,0.353744845,1,0.4
3,all,1,,5,1,9,22.34697123,22.30474726,0.449038255,1,0.4
3,all,1,,6,1,9,24.5921625,24.29995863,0.220935111,0.5,0.4
3,all,1,1,7,1,9,25.69683805,26.45885549,0.37618055,1,0.4
3,all,1,1,8,1,9,27.5777408,27.7107895,0.247198717,1,0.4
3,all,1,1,9,1,9,28.81373439,28.90598784,,1,0.4
3,all,2,,1,7,9,,,,1,
3,all,2,,2,7,9,,,,1,
3,all,2,,3,7,9,,,,0.5,
3,all,2,,4,7,9,,,,1,
3,all,2,,5,7,9,,,,1,
3,all,2,,6,7,9,,,,0.5,
3,all,2,,7,7,9,0.911413868,,0.854809439,1,
3,all,2,2,8,7,9,5.185461065,5.062646442,0.675180332,1,0.4
3,all,2,2,9,7,9,8.561362727,9.13726723,,1,0.4
4,all,1,,1,1,9,8.998452672,8.539344372,0.717257179,1,0.4
4,all,1,,2,1,9,12.58473857,12.72647944,0.456129971,1,0.4
4,all,1,,3,1,9,14.86538842,15.03530834,0.455024622,0.5,0.4
4,all,1,,4,1,9,17.14051153,17.39985047,0.485930084,1,0.4
4,all,1,,5,1,9,19.57016195,19.08223794,0.529445881,1,0.4
4,all,1,,6,1,9,22.21739135,22.26028537,0.349909417,0.5,0.4
4,all,1,1,7,1,9,23.96693844,23.58931536,0.548426074,1,0.4
4,all,1,1,8,1,9,26.70906881,26.70891495,0.44706903,1,0.4
4,all,1,1,9,1,9,28.94441396,29.48146353,,1,0.4
4,all,2,,1,1,9,19.15295919,18.89789534,0.636716099,1,0.4
4,all,2,,2,1,9,22.33653968,21.99912443,0.554434991,1,0.4
4,all,2,,3,1,9,25.10871464,24.86497397,0.17614727,0.5,0.4
4,all,2,,4,1,9,25.98945099,25.27325648,0.478764952,1,0.4
4,all,2,,5,1,9,28.38327575,28.28733708,0.353646218,1,0.4
4,all,2,,6,1,9,30.15150684,30.74527761,0.26601988,0.5,0.4
4,all,2,2,7,1,9,31.48160624,31.7461591,0.3355821,1,0.4
4,all,2,2,8,1,9,33.15951674,32.83340504,0.384299704,1,0.4
4,all,2,2,9,1,9,35.08101525,34.90672052,,1,0.4
4,all,3,,1,1,9,17.10064848,17.73178927,0.484794635,1,0.4
4,all,3,,2,1,9,19.52462165,19.49985259,0.47070491,1,0.4
4,all,3,,3,1,9,21.8781462,22.12371539,0.209421034,0.5,0.4
4,all,3,,4,1,9,22.92525137,22.30681594,0.581308914,1,0.4
4,all,3,,5,1,9,25.83179594,25.78683916,0.50690984,1,0.4
4,all,3,,6,1,9,28.36634514,28.35762732,0.039338734,0.5,0.4
4,all,3,3,7,1,9,28.56303881,28.25970064,0.382574998,1,0.4
4,all,3,3,8,1,9,30.4759138,30.06155665,0.342942611,1,0.4
4,all,3,3,9,1,9,32.19062686,32.56989058,,1,0.4
5,all,1,,1,2,3,,,,1,
5,all,1,,2,2,3,0.829507253,,0.684395025,1,
5,all,1,,3,2,3,4.25148238,3.475506318,0.27933904,0.5,0.4
5,all,1,,4,2,3,,,,1,
5,all,1,,5,2,3,,,,1,
5,all,1,,6,2,3,,,,0.5,
5,all,1,,7,2,3,,,,1,
5,all,1,,8,2,3,,,,1,
5,all,1,,9,2,3,,,,1,
5,all,2,,1,1,9,10.77538882,11.54249121,0.633501689,1,0.4
5,all,2,,2,1,9,13.94289726,14.25171936,0.559353507,1,0.4
5,all,2,,3,1,9,16.73966479,16.98293654,0.339525553,0.5,0.4
5,all,2,,4,1,9,18.43729256,18.3773691,0.358594615,1,0.4
5,all,2,,5,1,9,20.23026563,20.59144715,0.539665803,1,0.4
5,all,2,,6,1,9,22.92859465,23.33133939,0.351555249,0.5,0.4
5,all,2,2,7,1,9,24.68637089,23.84458734,0.290607994,1,0.4
5,all,2,2,8,1,9,26.13941086,26.11726569,0.408289492,1,0.4
5,all,2,2,9,1,9,28.18085832,28.12376127,,1,0.4
5,all,3,,1,1,6,15.39767888,15.92340715,0.633372205,1,0.4
5,all,3,,2,1,6,18.56453991,19.0230439,0.807870289,1,0.4
5,all,3,,3,1,6,22.60389135,22.50685805,0.336228148,0.5,0.4
5,all,3,,4,1,6,24.28503209,24.58884837,0.298956702,1,0.4
5,all,3,,5,1,6,25.7798156,25.4356853,0.549750909,1,0.4
5,all,3,,6,1,6,28.52857014,28.46815751,0.260623596,0.5,0.4
5,all,3,,7,1,6,,,,1,
5,all,3,,8,1,6,,,,1,
5,all,3,,9,1,6,,,,1,
5,all,4,,1,1,6,45.78352887,45.52369025,0.128096927,1,0.4
5,all,4,,2,1,6,46.42401351,47.07502846,0.195380164,1,0.4
5,all,4,,3,1,6,47.40091433,47.65136596,0.238139377,0.5,0.4
5,all,4,,4,1,6,48.59161121,48.49952188,0.172427097,1,0.4
5,all,4,,5,1,6,49.4537467,49.74480708,0,1,0.4
5,all,4,,6,1,6,49.4537467,49.452204,0.042345498,0.5,0.4
5,all,4,,7,1,6,,,,1,
5,all,4,,8,1,6,,,,1,
5,all,4,,9,1,6,,,,1,
6,all,1,,1,1,9,15.25613847,15.12794081,0.518724578,1,0.4
6,all,1,,2,1,9,17.84976136,18.40901623,0.41756578,1,0.4
6,all,1,,3,1,9,19.93759026,20.51430135,0.427620551,0.5,0.4
6,all,1,,4,1,9,22.07569301,22.15764242,0.394132799,1,0.4
6,all,1,,5,1,9,24.04635701,23.94468547,0.382542414,1,0.4
6,all,1,,6,1,9,25.95906908,25.8897527,0.115881907,0.5,0.4
6,all,1,1,7,1,9,26.53847861,26.74604094,0.299625052,1,0.4
6,all,1,1,8,1,9,28.03660387,28.45721592,0.519801611,1,0.4
6,all,1,1,9,1,9,30.63561193,30.600164,,1,0.4
6,all,2,,1,1,7,10.32002744,9.42207947,0.751931268,1,0.4
6,all,2,,2,1,7,14.07968378,13.75091932,0.561918809,1,0.4
6,all,2,,3,1,7,16.88927783,16.49067783,0.287388298,0.5,0.4
6,all,2,,4,1,7,18.32621932,18.44290859,0.434427194,1,0.4
6,all,2,,5,1,7,20.49835529,20.40348003,0.485223028,1,0.4
6,all,2,,6,1,7,22.92447043,22.82572365,0.148860238,0.5,0.4
6,all,2,2,7,1,7,23.66877162,23.7958532,0.323121094,1,0.4
6,all,2,,8,1,7,,,,1,
6,all,2,,9,1,7,,,,1,
6,all,3,,1,1,2,2.014252551,2.311205461,0.626699274,1,0.4
6,all,3,,2,1,2,5.147748921,5.057440694,0.901238847,1,0.4
6,all,3,,3,1,2,,,,0.5,
6,all,3,,4,1,2,,,,1,
6,all,3,,5,1,2,,,,1,
6,all,3,,6,1,2,,,,0.5,
6,all,3,,7,1,2,,,,1,
6,all,3,,8,1,2,,,,1,
6,all,3,,9,1,2,,,,1,
7,all,1,,1,1,8,10.98640982,10.87427583,0.420215303,1,0.4
7,all,1,,2,1,8,13.08748634,13.55534851,0.456019959,1,0.4
7,all,1,,3,1,8,15.36758613,15.31899558,0.129535795,0.5,0.4
7,all,1,,4,1,8,16.01526511,15.36034845,0.351251644,1,0.4
7,all,1,,5,1,8,17.77152332,17.96807661,0.524105677,1,0.4
7,all,1,,6,1,8,20.39205171,20.50477943,0.384923137,0.5,0.4
7,all,1,1,7,1,8,22.31666739,22.15642605,0.557335934,1,0.4
7,all,1,1,8,1,8,25.10334706,25.17269166,0.398933037,1,0.4
7,all,1,,9,1,8,,,,1,
7,all,2,,1,1,9,2.634858686,2.19318394,0.756589235,1,0.4
7,all,2,,2,1,9,6.417804861,7.21430108,0.67126074,1,0.4
7,all,2,,3,1,9,9.77410856,9.022140491,0.117269078,0.5,0.4
7,all,2,,4,1,9,10.36045395,10.64332294,0.668216023,1,0.4
7,all,2,,5,1,9,13.70153406,13.39528859,0.529162103,1,0.4
7,all,2,,6,1,9,16.34734458,16.45621328,0.064017693,0.5,0.4
7,all,2,2,7,1,9,16.66743304,16.94606776,0.430606576,1,0.4
7,all,2,2,8,1,9,18.82046592,19.31241781,0.471061557,1,0.4
7,all,2,2,9,1,9,21.17577371,21.65120759,,1,0.4
8,all,1,,1,6,9,,,,1,
8,all,1,,2,6,9,,,,1,
8,all,1,,3,6,9,,,,0.5,
8,all,1,,4,6,9,,,,1,
8,all,1,,5,6,9,,,,1,
8,all,1,,6,6,9,0.432767779,,0.197808836,0.5,
8,all,1,1,7,6,9,1.42181196,1.435619195,0.460459611,1,0.4
8,all,1,1,8,6,9,3.724110015,3.620065863,0.734438271,1,0.4
8,all,1,1,9,6,9,7.396301368,7.27390833,,1,0.4
8,all,2,,1,1,9,6.581432961,6.34457671,0.646862819,1,0.4
8,all,2,,2,1,9,9.815747055,9.373613631,0.470148037,1,0.4
8,all,2,,3,1,9,12.16648724,12.58212265,0.312075831,0.5,0.4
8,all,2,,4,1,9,13.72686639,14.74402818,0.536127564,1,0.4
8,all,2,,5,1,9,16.40750421,16.13801789,0.514583717,1,0.4
8,all,2,,6,1,9,18.9804228,18.9435308,0.190784168,0.5,0.4
8,all,2,2,7,1,9,19.93434364,20.04623765,0.605764681,1,0.4
8,all,2,2,8,1,9,22.96316704,24.04675081,0.370687245,1,0.4
8,all,2,2,9,1,9,24.81660327,23.88500188,,1,0.4
8,all,3,,1,1,9,4.249013331,4.335975358,0.645906907,1,0.4
8,all,3,,2,1,9,7.478547867,8.111489925,0.634684871,1,0.4
8,all,3,,3,1,9,10.65197222,11.31091865,0.284636516,0.5,0.4
8,all,3,,4,1,9,12.0751548,11.81585108,0.652667562,1,0.4
8,all,3,,5,1,9,15.33849261,15.32845137,0.561037406,1,0.4
8,all,3,,6,1,9,18.14367965,18.74727446,0.230548097,0.5,0.4
8,all,3,3,7,1,9,19.29642013,19.23612102,0.41153599,1,0.4
8,all,3,3,8,1,9,21.35410008,21.57140853,0.452951626,1,0.4
8,all,3,3,9,1,9,23.61885821,23.58455784,,1,0.4
9,all,1,,1,1,8,15.57721454,14.95536937,0.630822566,1,0.4
9,all,1,,2,1,8,18.73132737,18.70395589,0.481816066,1,0.4
9,all,1,,3,1,8,21.1404077,21.52496773,0.296926512,0.5,0.4
9,all,1,,4,1,8,22.62504026,22.73003039,0.272495553,1,0.4
9,all,1,,5,1,8,23.98751802,24.0130406,0.417782167,1,0.4
9,all,1,,6,1,8,26.07642886,26.19470508,0,0.5,0.4
9,all,1,1,7,1,8,26.07642886,26.36459236,0.563288098,1,0.4
9,all,1,1,8,1,8,28.89286935,28.76263321,0.656771098,1,0.4
9,all,1,,9,1,8,,,,1,
9,all,2,,1,3,9,,,,1,
9,all,2,,2,3,9,,,,1,
9,all,2,,3,3,9,0.879188509,,0.206425729,0.5,
9,all,2,,4,3,9,1.911317152,1.542405744,0.736289191,1,0.4
9,all,2,,5,3,9,5.592763107,5.514890543,0.621647489,1,0.4
9,all,2,,6,3,9,8.701000551,8.611825462,0.64025188,0.5,0.4
9,all,2,2,7,3,9,11.90225995,12.06220766,0.838702785,1,0.4
9,all,2,2,8,3,9,16.09577388,15.68861609,0.778324484,1,0.4
9,all,2,2,9,3,9,19.98739629,19.99597627,,1,0.4
9,all,3,,1,4,9,,,,1,
9,all,3,,2,4,9,,,,1,
9,all,3,,3,4,9,,,,0.5,
9,all,3,,4,4,9,0.621648039,,0.546324377,1,
9,all,3,,5,4,9,3.353269922,3.483830991,0.676043898,1,0.4
9,all,3,,6,4,9,6.733489414,6.647644625,0.331194036,0.5,0.4
9,all,3,3,7,4,9,8.389459596,8.267876274,0.755378321,1,0.4
9,all,3,3,8,4,9,12.1663512,13.04002049,0.588174283,1,0.4
9,all,3,3,9,4,9,15.10722261,15.45509913,,1,0.4
9,all,4,,1,1,9,35.42946973,36.06963587,0.206197724,1,0.4
9,all,4,,2,1,9,36.46045835,36.28169174,0.299653712,1,0.4
9,all,4,,3,1,9,37.95872691,38.13935617,0,0.5,0.4
9,all,4,,4,1,9,37.95872691,36.93911291,0.179992171,1,0.4
9,all,4,,5,1,9,38.85868777,38.60929638,0.249180445,1,0.4
9,all,4,,6,1,9,40.10458999,40.08730086,0.17607903,0.5,0.4
9,all,4,4,7,1,9,40.98498514,40.83482555,0.26964483,1,0.4
9,all,4,4,8,1,9,42.33320929,42.32143205,0.260790782,1,0.4
9,all,4,4,9,1,9,43.63716321,43.39388768,,1,0.4
10,all,1,,1,1,1,3.359618489,2.66801336,0.756271122,1,0.4
10,all,1,,2,1,1,,,,1,
10,all,1,,3,1,1,,,,0.5,
10,all,1,,4,1,1,,,,1,
10,all,1,,5,1,1,,,,1,
10,all,1,,6,1,1,,,,0.5,
10,all,1,,7,1,1,,,,1,
10,all,1,,8,1,1,,,,1,
10,all,1,,9,1,1,,,,1,
10,all,2,,1,1,9,24.74282903,25.24357117,0.325558063,1,0.4
10,all,2,,2,1,9,26.37061935,25.74203031,0.462460881,1,0.4
10,all,2,,3,1,9,28.68292375,29.01082553,0,0.5,0.4
10,all,2,,4,1,9,28.68292375,29.23936219,0.334601101,1,0.4
10,all,2,,5,1,9,30.35592926,29.31211925,0.354872654,1,0.4
10,all,2,,6,1,9,32.13029253,32.38939117,0.192236546,0.5,0.4
10,all,2,2,7,1,9,33.09147526,32.94628342,0.251504367,1,0.4
10,all,2,2,8,1,9,34.34899709,34.39308579,0.250431022,1,0.4
10,all,2,2,9,1,9,35.60115221,35.49312255,,1,0.4
11,all,1,,1,2,5,,,,1,
11,all,1,,2,2,5,0.457817881,,0.843159234,1,
11,all,1,,3,2,5,4.673614051,4.682205244,0.318996303,0.5,0.4
11,all,1,,4,2,5,6.268595568,6.825042273,0.494657509,1,0.4
11,all,1,,5,2,5,8.741883111,8.643073819,0.722208611,1,0.4
11,all,1,,6,2,5,,,,0.5,
11,all,1,,7,2,5,,,,1,
11,all,1,,8,2,5,,,,1,
11,all,1,,9,2,5,,,,1,
11,all,2,,1,1,9,28.32435675,28.51915587,0.329882513,1,0.4
11,all,2,,2,1,9,29.97376931,30.192687,0.369447972,1,0.4
11,all,2,,3,1,9,31.82100917,32.17202157,0.333952247,0.5,0.4
11,all,2,,4,1,9,33.49077041,32.89787751,0.288489383,1,0.4
11,all,2,,5,1,9,34.93321733,34.92900772,0.289607139,1,0.4
11,all,2,,6,1,9,36.38125302,36.46702272,0.135540389,0.5,0.4
11,all,2,2,7,1,9,37.05895496,36.75226327,0.430064964,1,0.4
11,all,2,2,8,1,9,39.20927979,39.21414799,0.355842969,1,0.4
11,all,2,2,9,1,9,40.98849463,40.6999585,,1,0.4
11,all,3,,1,1,9,3.209328609,3.169537446,0.654198526,1,0.4
11,all,3,,2,1,9,6.480321237,6.463895257,0.557252547,1,0.4
11,all,3,,3,1,9,9.266583973,9.09591141,0.28955228,0.5,0.4
11,all,3,,4,1,9,10.71434537,10.36285438,0.434958122,1,0.4
11,all,3,,5,1,9,12.88913598,13.3180727,0.515166193,1,0.4
11,all,3,,6,1,9,15.46496695,15.33701028,0.010858974,0.5,0.4
11,all,3,3,7,1,9,15.51926181,15.50807622,0.7051975,1,0.4
11,all,3,3,8,1,9,19.04524932,18.74389491,0.44330932,1,0.4
11,all,3,3,9,1,9,21.26179592,21.63542764,,1,0.4
11,all,4,,1,1,9,1.93751849,1.719073681,0.621801002,1,0.4
11,all,4,,2,1,9,5.046523502,5.226674369,0.681172648,1,0.4
11,all,4,,3,1,9,8.452386742,8.175380552,0.301138603,0.5,0.4
11,all,4,,4,1,9,9.958079757,9.646241313,0.445230855,1,0.4
11,all,4,,5,1,9,12.18423403,12.16530097,0.55251919,1,0.4
11,all,4,,6,1,9,14.94682998,14.96100381,0.385380452,0.5,0.4
11,all,4,4,7,1,9,16.87373224,17.24752502,0.419571419,1,0.4
11,all,4,4,8,1,9,18.97158934,18.87823493,0.474579817,1,0.4
11,all,4,4,9,1,9,21.34448842,20.66417318,,1,0.4
11,all,5,,1,1,9,17.58011602,17.54964368,0.574012513,1,0.4
11,all,5,,2,1,9,20.45017858,19.83541996,0.48188859,1,0.4
11,all,5,,3,1,9,22.85962154,23.17520188,0.093820526,0.5,0.4
11,all,5,,4,1,9,23.32872416,23.39565075,0.431775435,1,0.4
11,all,5,,5,1,9,25.48760134,25.24602822,0.323728725,1,0.4
11,all,5,,6,1,9,27.10624496,26.93976723,0.175362959,0.5,0.4
11,all,5,5,7,1,9,27.98305976,28.30105192,0.39186003,1,0.4
11,all,5,5,8,1,9,29.94235991,29.7926662,0.464646138,1,0.4
11,all,5,5,9,1,9,32.2655906,33.11026794,,1,0.4
11,all,6,,1,1,9,12.60389913,12.21687803,0.5551363,1,0.4
11,all,6,,2,1,9,15.37958063,15.15688306,0.560801273,1,0.4
11,all,6,,3,1,9,18.183587,17.73950412,0.258507448,0.5,0.4
11,all,6,,4,1,9,19.47612424,19.01162426,0.437673745,1,0.4
11,all,6,,5,1,9,21.66449296,21.49932277,0.755254311,1,0.4
11,all,6,,6,1,9,25.44076452,25.82152029,0.205576479,0.5,0.4
11,all,6,6,7,1,9,26.46864691,26.1005747,0.471114015,1,0.4
11,all,6,6,8,1,9,28.82421699,28.87148703,0.447410035,1,0.4
11,all,6,6,9,1,9,31.06126716,30.98007005,,1,0.4
12,all,1,,1,6,9,,,,1,
12,all,1,,2,6,9,,,,1,
12,all,1,,3,6,9,,,,0.5,
12,all,1,,4,6,9,,,,1,
12,all,1,,5,6,9,,,,1,
12,all,1,,6,6,9,0.643764342,,0.415432132,0.5,
12,all,1,1,7,6,9,2.720925003,2.198993282,0.607883263,1,0.4
12,all,1,1,8,6,9,5.76034132,5.292747583,0.718251205,1,0.4
12,all,1,1,9,6,9,9.351597346,9.726641165,,1,0.4
12,all,2,,1,6,8,,,,1,
12,all,2,,2,6,8,,,,1,
12,all,2,,3,6,8,,,,0.5,
12,all,2,,4,6,8,,,,1,
12,all,2,,5,6,8,,,,1,
12,all,2,,6,6,8,0.595468877,,0.47901967,0.5,
12,all,2,2,7,6,8,2.990567225,2.905515469,0.625138933,1,0.4
12,all,2,2,8,6,8,6.116261888,6.080868119,0.832285739,1,0.4
12,all,2,,9,6,8,,,,1,
13,all,1,,1,1,6,7.302520802,6.6464808,0.5737534,1,0.4
13,all,1,,2,1,6,10.1712878,9.870666974,0.590735832,1,0.4
13,all,1,,3,1,6,13.12496697,13.33482473,0.236965511,0.5,0.4
13,all,1,,4,1,6,14.30979452,14.56314624,0.431224735,1,0.4
13,all,1,,5,1,6,16.4659182,16.59671689,0.671923704,1,0.4
13,all,1,,6,1,6,19.82553672,20.52381071,0.352479842,0.5,0.4
13,all,1,,7,1,6,,,,1,
13,all,1,,8,1,6,,,,1,
13,all,1,,9,1,6,,,,1,
13,all,2,,1,1,9,4.962793687,4.791312518,0.508473633,1,0.4
13,all,2,,2,1,9,7.505161853,6.679048194,0.658308262,1,0.4
13,all,2,,3,1,9,10.79670316,10.48541516,0.182708815,0.5,0.4
13,all,2,,4,1,9,11.71024724,11.87424993,0.441787712,1,0.4
13,all,2,,5,1,9,13.9191858,13.68651203,0.520180433,1,0.4
13,all,2,,6,1,9,16.52008796,16.04810278,0.087409882,0.5,0.4
13,all,2,2,7,1,9,16.95713737,17.2607054,0.535669066,1,0.4
13,all,2,2,8,1,9,19.6354827,19.0538553,0.502492507,1,0.4
13,all,2,2,9,1,9,22.14794523,21.74787468,,1,0.4
13,all,3,,1,1,9,8.892307933,8.993284698,0.648087695,1,0.4
13,all,3,,2,1,9,12.13274641,12.49324571,0.728749943,1,0.4
13,all,3,,3,1,9,15.77649612,16.1286724,0.211785304,0.5,0.4
13,all,3,,4,1,9,16.83542265,17.72813069,0.600830076,1,0.4
13,all,3,,5,1,9,19.83957303,19.58363909,0.396012569,1,0.4
13,all,3,,6,1,9,21.81963587,21.42759441,0.387030254,0.5,0.4
13,all,3,3,7,1,9,23.75478714,23.88522633,0.40624102,1,0.4
13,all,3,3,8,1,9,25.78599224,25.11188728,0.556986516,1,0.4
13,all,3,3,9,1,9,28.57092482,29.05520145,,1,0.4
13,all,4,,1,6,9,,,,1,
13,all,4,,2,6,9,,,,1,
13,all,4,,3,6,9,,,,0.5,
13,all,4,,4,6,9,,,,1,
13,all,4,,5,6,9,,,,1,
13,all,4,,6,6,9,0.213877155,,0.388312802,0.5,
13,all,4,4,7,6,9,2.155441168,1.105090112,0.476629288,1,0.4
13,all,4,4,8,6,9,4.538587608,4.538450619,0.778355802,1,0.4
13,all,4,4,9,6,9,8.43036662,8.473331538,,1,0.4
13,all,5,,1,1,9,22.06421868,22.82527953,0.379659423,1,0.4
13,all,5,,2,1,9,23.9625158,23.74938937,0.381552913,1,0.4
13,all,5,,3,1,9,25.87028036,25.43276655,0.327519997,0.5,0.4
13,all,5,,4,1,9,27.50788035,27.5472535,0.462273996,1,0.4
13,all,5,,5,1,9,29.81925033,29.66285108,0.487726206,1,0.4
13,all,5,,6,1,9,32.25788136,32.77393411,0.123182761,0.5,0.4
13,all,5,5,7,1,9,32.87379517,33.13840986,0.460362911,1,0.4
13,all,5,5,8,1,9,35.17560972,34.90308063,0.344714373,1,0.4
13,all,5,5,9,1,9,36.89918158,37.19131861,,1,0.4
14,all,1,,1,1,9,11.51958474,11.49942398,0.793876131,1,0.4
14,all,1,,2,1,9,15.48896539,15.10965197,0.373649072,1,0.4
14,all,1,,3,1,9,17.35721075,17.14419757,0.270791471,0.5,0.4
14,all,1,,4,1,9,18.71116811,18.57512029,0.440909064,1,0.4
14,all,1,,5,1,9,20.91571343,20.48179091,0.389133112,1,0.4
14,all,1,,6,1,9,22.86137899,23.25780062,0.548486248,0.5,0.4
14,all,1,1,7,1,9,25.60381023,25.69884431,0.396269751,1,0.4
14,all,1,1,8,1,9,27.58515899,27.76374727,0.422933792,1,0.4
14,all,1,1,9,1,9,29.69982795,29.07036276,,1,0.4
14,all,2,,1,2,9,,,,1,
14,all,2,,2,2,9,0.562850242,,0.687364466,1,
14,all,2,,3,2,9,3.999672571,4.100557965,0.211572407,0.5,0.4
14,all,2,,4,2,9,5.057534607,5.493337062,0.798579501,1,0.4
14,all,2,,5,2,9,9.050432109,8.624205749,0.836902827,1,0.4
14,all,2,,6,2,9,13.23494625,13.05844432,0.158824216,0.5,0.4
14,all,2,2,7,2,9,14.02906732,14.26919518,0.638468974,1,0.4
